Name,Category,MinPrice,MaxPrice,Store,Description
Gelang Kulit Etnik,Aksesoris,50000,150000,"Mahaeswari Jepara Craft, Griya Parcel Mahar Jepara","terbuat dari kulit asli dengan motif etnik yang khas, memberikan tampilan yang alami dan autentik. Cocok untuk melengkapi gaya kasual sehari-hari. Fleksibel dan nyaman dipakai di pergelangan tangan."
Kalung Manik-Manik,Aksesoris,80000,200000,"Mahaeswari Jepara Craft, Griya Parcel Mahar Jepara","dirancang dengan manik-manik warna-warni, menciptakan kesan ceria dan bersemangat. Cocok dipadukan dengan pakaian tradisional atau modern. Dapat menambah sentuhan seni pada penampilan Anda."
Topi Jerami Hias,Aksesoris,60000,150000,"Mahaeswari Jepara Craft, Griya Parcel Mahar Jepara","terbuat dari bahan jerami ini dihiasi dengan ornamen-ornamen cantik. Ideal untuk acara di luar ruangan, seperti pantai atau festival. Memberikan perlindungan dari sinar matahari dengan gaya yang unik."
Anting Perak Motif Jepara,Aksesoris,200000,500000,"Mahaeswari Jepara Craft, Batik Zara Pasar Ratu","berbahan dasar perak dengan ukiran khas dari Jepara, memberikan nuansa tradisional yang mewah. Cocok digunakan untuk acara formal atau semi-formal. Tahan lama dengan kilau yang elegan."
Bros Manik-Manik,Aksesoris,40000,120000,"Griya Parcel Mahar Jepara, Mahaeswari Jepara Craft","dirangkai dari manik-manik berwarna cerah, menciptakan aksesori yang menarik dan penuh gaya. Bisa dipasang pada pakaian atau tas untuk menambah kesan modis. Praktis dan mudah dipadukan dengan berbagai gaya busana."
Cincin Batu Akik,Aksesoris,300000,800000,"Mahaeswari Jepara Craft, Batik Zara Pasar Ratu",cincin dengan batu akik yang dipercaya memiliki energi positif. Bentuknya yang unik menambah daya tarik tersendiri pada setiap jari. Cocok digunakan untuk menambah pesona dan karakter pribadi.
Gelang Anyaman,Aksesoris,20000,70000,"Griya Parcel Mahar Jepara, Batik Zara Pasar Ratu","dibuat dengan teknik anyaman tradisional, menghasilkan aksesori yang ringan dan nyaman dipakai. Motifnya yang alami membuatnya cocok untuk penampilan kasual. Sangat cocok sebagai hadiah khas Indonesia"
Anting Batik,Aksesoris,70000,200000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","memadukan elemen batik tradisional dengan desain modern. Setiap pasang memiliki pola unik yang mencerminkan kekayaan budaya. Nyaman dipakai sehari-hari, baik untuk acara formal maupun santai."
Kalung Kayu,Aksesoris,40000,100000,"Griya Parcel Mahar Jepara, Batik Zara Pasar Ratu",dibuat dari potongan kayu alami dengan sentuhan etnik. Memberikan tampilan yang sederhana namun elegan. Cocok untuk pencinta aksesori ramah lingkungan dan gaya bohemian.
Kalung Batik,Aksesoris,100000,250000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","memiliki hiasan kain batik yang artistik, memberikan sentuhan tradisional dalam penampilan modern. Setiap motif membawa cerita dan sejarah batik Indonesia. Ideal dipakai untuk acara budaya atau sehari-hari."
Gelang Kulit Ukir,Aksesoris,70000,200000,"Mahaeswari Jepara Craft, Griya Parcel Mahar Jepara","berbahan kulit dengan ukiran detail yang menawan. Cocok untuk melengkapi gaya maskulin atau etnik. Nyaman dan tahan lama, dengan desain yang tidak lekang oleh waktu."
Anting Kayu Ukir,Aksesoris,50000,150000,"Mahaeswari Jepara Craft, Batik Zara Pasar Ratu",terbuat dari kayu dengan ukiran yang halus dan tradisional. Memberikan kesan alami dan unik pada penampilan. Ringan dipakai dan cocok untuk kegiatan sehari-hari maupun acara formal.
Kalung Koin Batik,Aksesoris,80000,250000,"Batik Zara Pasar Ratu, Mahaeswari Jepara Craft","kalung dengan ornamen koin dan kain batik, memberikan kesan antik yang elegan. Unik dan berbeda dari aksesori kalung pada umumnya. Cocok untuk mereka yang ingin menonjolkan identitas budaya."
Gelang Anyaman Bambu,Aksesoris,30000,100000,"Mahaeswari Jepara Craft, Batik Zara Pasar Ratu","terbuat dari bambu yang dianyam dengan rapi, gelang ini memberikan kesan alami dan tradisional. Nyaman dipakai sepanjang hari dan cocok untuk acara santai. Menghadirkan sentuhan etnik dalam setiap gaya."
Gelang Tangan Monel,Aksesoris,15000,30000,"Toko Adhesi Monel, Seni Sakti Monel",berbahan monel yang kuat dan tahan lama dengan desain simpel namun elegan. Cocok untuk penggunaan sehari-hari atau sebagai hadiah spesial. Kilau monelnya menambah kesan mewah pada penampilan.
Kalung Monel,Aksesoris,10000,50000,"Toko Adhesi Monel, Seni Sakti Monel","berbahan monel dengan desain minimalis dan modern. Ideal untuk dipakai dalam berbagai kesempatan, baik formal maupun kasual. Bahan monelnya membuat kalung ini tahan lama dan anti karat."
Cincin Monel,Aksesoris,60000,500000,"Toko Adhesi Monel, Seni Sakti Monel", berbahan dasar monel dengan desain yang simpel namun elegan. Tahan terhadap korosi dan tidak mudah pudar. Cocok untuk dipakai setiap hari sebagai aksesori yang praktis dan stylish.
Anting Monel,Aksesoris,20000,50000,"Toko Adhesi Monel, Seni Sakti Monel","memiliki desain modern dengan bahan monel yang tahan lama. Cocok untuk melengkapi gaya sehari-hari maupun acara formal. Anting ini juga hypoallergenic, sehingga aman untuk kulit sensitif."
Tempat Tisu Anyaman,Anyaman Bambu,50000,120000,"Griya Parcel Mahar Jepara, Jepara Art Furnicraft","terbuat dari anyaman bambu, memberikan kesan alami dan ramah lingkungan. Cocok untuk menghiasi meja ruang tamu atau ruang kerja. Tampil elegan dengan sentuhan tradisional."
Keranjang Buah Bambu,Anyaman Bambu,80000,200000,"Jepara Art Furnicraft, Griya Parcel Mahar Jepara",keranjang bambu yang dirancang untuk menyimpan buah-buahan segar. Desainnya yang alami dan ramah lingkungan membuatnya cocok diletakkan di dapur atau meja makan. Ringan namun kuat untuk digunakan sehari-hari.
Tempat Lilin Anyaman Bambu,Anyaman Bambu,80000,200000,"Jepara Art Furnicraft, Mahaeswari Jepara Craft",tempat lilin ini dirancang dari anyaman bambu dengan detail halus. Memberikan suasana hangat dan alami dalam ruangan. Cocok sebagai dekorasi untuk menciptakan suasana santai dan romantis.
Tas Anyaman Bambu,Anyaman Bambu,150000,400000,"Jepara Art Furnicraft, Mustika Kayu Jati Jepara","terbuat dari bahan bambu yang dianyam dengan indah, menciptakan aksesori yang ramah lingkungan. Cocok digunakan untuk acara santai atau berbelanja. Kuat dan tahan lama untuk penggunaan sehari-hari."
Kotak Tisu Anyaman Bambu,Anyaman Bambu,100000,250000,"Griya Parcel Mahar Jepara, Jepara Art Furnicraft",berbahan bambu dengan desain anyaman yang elegan. Dapat digunakan di ruang tamu atau kantor untuk menambah sentuhan tradisional pada dekorasi. Ramah lingkungan dan tahan lama.
Tatakan Gelas Anyaman,Anyaman Bambu,30000,80000,"Jepara Art Furnicraft, Mahaeswari Jepara Craft","tatakan gelas berbahan anyaman bambu, cocok untuk melindungi meja dari panas atau cairan. Desainnya yang alami membuatnya cocok untuk suasana rumah yang hangat. Tahan lama dan mudah dibersihkan."
Anyaman Bambu Tempat Sampah,Anyaman Bambu,150000,350000,"Jepara Art Furnicraft, Mustika Kayu Jati Jepara"," terbuat dari anyaman bambu yang kuat dan ramah lingkungan. Cocok diletakkan di ruang tamu, dapur, atau kamar mandi. Memberikan sentuhan tradisional yang unik pada interior rumah."
Boks Penyimpanan Anyaman,Anyaman Bambu,120000,300000,"Griya Parcel Mahar Jepara, Jepara Art Furnicraft","terbuat dari bahan bambu yang dianyam dengan indah, ideal untuk menyimpan barang-barang kecil hingga sedang. Desainnya yang praktis dan alami cocok untuk mempercantik ruangan. Ramah lingkungan dan kuat."
Gelas Anyaman Bambu,Anyaman Bambu,50000,150000,"Mahaeswari Jepara Craft, Jepara Art Furnicraft",terbuat dari bambu dengan desain anyaman yang unik. Ideal untuk acara ramah lingkungan atau kegiatan outdoor. Aman digunakan dan memberikan kesan tradisional yang kuat.
Batik Tulis Motif Ikan,Batik Jepara,400000,900000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","batik tulis dengan motif ikan yang khas, melambangkan keseimbangan dan harmoni dalam budaya Indonesia. Cocok digunakan sebagai pakaian tradisional atau dekorasi. Setiap motif dibuat dengan teliti oleh pengrajin batik."
